Test,Animal,Treatment,Sex,APOE,Code,Stage,Trial,Apparatus,Object1 : head entries,Object1 : head time,Object1_Day2_3_5: RI,Object1 : latency to first entry,Object1 : time mobile,Object1 : time immobile,Object1 : in zone oriented to centre,Object1 : time freezing,Object2 : head entries,Object2 : head time,Object2_Day2_3_5.RI,Object2 : latency to first entry,Object2 : time mobile,Object2 : time immobile,Object2 : in zone oriented to centre,Object2 : time freezing,Outerzone : head entries,Outerzone : head time,Outerzone : distance,Outerzone : latency to first entry,Outerzone : average speed,Outerzone : time mobile,Outerzone : time immobile,Total_Time_Mobile,Outerzone : time freezing,Centerzone : head entries,Centerzone : head time,Centerzone : distance,Centerzone : latency to first entry,Centerzone : average speed,Centerzone : time mobile,Centerzone : time immobile,Centerzone : time freezing,Object 3 : head entries,Object 3 : head time,Object 3 : latency to first entry,Object 3 : in zone oriented to centre,Object 4 : head entries,Object4.headtime,Object 4 : latency to first entry,Object 4 : in zone oriented to centre,Object1Center : head time oriented towards,Object2Center : head time oriented towards,Total_Distance_Mobile,Total Time Freezing
70,061019_4,APOE4/4M,M,APOE4/4,A,Day2_IdenticalObject,1,2Objects_NOR,3,3.2,0.3106796117,4.5,1.3,1.9,2.1,0,5,7.1,0.6893203883,45.8,4.7,2.4,4.7,0,20,90.6,5.98,0.7,0.062,61.8,34.7,66.2,15.4,6,9.5,0.283,11,0.039,4.4,2.8,0,3,2.5,44.5,0,3,1.1,11,0,24.1,25,6.263,15.4
71,061019_5,APOE4/4M,M,APOE4/4,A,Day2_IdenticalObject,1,2Objects_NOR,3,4.4,0.2716049383,9.1,2.3,2,1.6,0,8,11.8,0.7283950617,32.2,11.8,0,6.8,1.1,15,73.5,3.653,3.6,0.046,57.9,21.2,72.5,6.9,8,15.7,0.768,0,0.053,14.6,0,0,2,0.8,104.8,0,3,1.7,1.6,0,16.2,20.7,4.421,6.9
72,061019_3,APOE4/4M,M,APOE4/4,A,Day2_IdenticalObject,2,2Objects_NOR,8,13.3,0.3093023256,8.5,7.4,5.8,3.8,0,16,29.7,0.6906976744,18,23.7,6,12.6,0,17,37.8,2.011,1,0.056,35.6,0,68.1,0,35,46.7,1.798,0,0.045,32.5,7.9,0,3,1.4,35.9,0,4,2.4,54.5,0,17.8,20.2,3.809,0
73,061019_4,APOE4/4M,M,APOE4/4,A,Day2_IdenticalObject,2,2Objects_NOR,4,7.6,0.387755102,16.9,7.6,0,2.5,0,7,12,0.612244898,0,8.7,3.3,4.7,0,11,86.9,2.605,1.8,0.03,38.3,49.7,48.8,25.6,10,14.5,0.896,0,0.086,10.5,0,0,0,0,91.9,0,2,1,11,0,19.9,20.2,3.501,25.6
74,061019_5,APOE4/4M,M,APOE4/4,A,Day2_IdenticalObject,2,2Objects_NOR,2,7.3,0.5251798561,18.5,7.3,0,0.2,0,6,6.6,0.4748201439,7.9,6.4,0.1,2.1,1.2,14,79.8,2.816,1.4,0.031,47.1,42.8,50.9,16.2,7,8.1,0.189,0,0.05,3.8,0,0,1,0.9,0.6,0,1,0.1,,0,22.6,20.1,3.005,16.2
75,061019_3,APOE4/4M,M,APOE4/4,A,Day2_IdenticalObject,3,2Objects_NOR,4,9.7,0.4429223744,2.3,6.9,2.8,1.3,0,7,12.2,0.5570776256,6.4,9.3,2.9,7.6,0,15,68.2,2.691,3,0.039,33.4,35.4,48.3,7.6,13,21.2,1.145,0,0.077,14.9,0,0,4,9.7,2.4,0.2,7,12.2,29.5,0,15.4,20.9,3.836,7.6
76,061019_4,APOE4/4M,M,APOE4/4,A,Day2_IdenticalObject,3,2Objects_NOR,2,1.5,0.2727272727,69.7,1.5,0,1,0,2,4,0.7272727273,1.3,4,0,1.4,0,16,103.7,2.197,2.1,0.02,39.2,71.3,42.5,29.2,4,3.7,0.256,0,0.077,3.3,0,0,2,1.5,,0,2,4,100.7,0,55.1,53.5,2.453,29.2
77,061019_5,APOE4/4M,M,APOE4/4,A,Day2_IdenticalObject,3,2Objects_NOR,5,9.2,1,8.4,9.2,0,4.8,1.4,0,0,0,,0,0,0,0,17,96.3,2.501,0.9,0.025,25.3,74,29.5,37.1,7,7,0.284,60.2,0.068,4.2,0,0,5,9.2,10.1,2.2,0,0,0,0,53,53,2.785,37.1
78,061019_6,APOE4/4F,F,APOE4/4,B,Day2_IdenticalObject,1,2Objects_NOR,4,6.2,0.5123966942,25.4,6.2,0,4.7,0,4,5.9,0.4876033058,17.3,5.9,0,2,0,14,90,7.336,0.4,0.075,80.9,16.7,89.2,4.2,8,11.7,0.748,16.9,0.091,8.3,0,0,2,2.6,76.5,0,5,3.4,16.7,0,18.4,16.4,8.084,4.2
79,061019_7,APOE4/4F,F,APOE4/4,B,Day2_IdenticalObject,1,2Objects_NOR,6,8.6,0.3805309735,9.7,6.7,1.9,1.9,0,11,14,0.6194690265,28.5,14,0,4,0,23,72.6,4.384,0.6,0.064,58.5,10.2,71.4,0,18,19.3,1.208,28.1,0.08,12.9,2.2,0,3,0.5,,0,1,0.4,34.9,0,15.4,14.4,5.592,0
80,061019_8,APOE4/4F,F,APOE4/4,B,Day2_IdenticalObject,1,2Objects_NOR,4,10.7,0.5323383085,69.3,10.7,0,2.1,0,7,9.4,0.4676616915,0.6,9.4,0,4.1,0,11,87.1,6.693,0,0.074,62,28,76.1,5.9,12,16.5,0.638,27.7,0.045,14.1,0,0,2,1.1,5.4,0,1,0.7,44.7,0,16,16.6,7.331,5.9
81,061019_6,APOE4/4F,F,APOE4/4,B,Day2_IdenticalObject,2,2Objects_NOR,4,5,0.1666666667,51.2,5,0,1.6,0,16,25,0.8333333333,48.5,25,0,3.5,0,13,68.1,4.891,0,0.071,48.8,20.4,79.9,4.4,16,27.1,1.456,50.4,0.047,31.1,0,0,0,0,,0,3,1.3,88.1,0,13,11.4,6.347,4.4
82,061019_7,APOE4/4F,F,APOE4/4,B,Day2_IdenticalObject,2,2Objects_NOR,9,17.7,0.3710691824,16.5,13.6,4.2,5.9,0,15,30,0.6289308176,1,9.4,20.6,14.4,0,15,41.5,2.53,0.6,0.069,31.3,5.2,56,1.1,23,41.2,1.174,13.9,0.024,24.7,24,1.1,4,1.8,28.4,0,4,2.1,67.9,0,18.6,15.4,3.704,2.2
83,061019_8,APOE4/4F,F,APOE4/4,B,Day2_IdenticalObject,2,2Objects_NOR,1,0.7,0.048951049,12.8,0.7,0,0.4,0,7,13.6,0.951048951,0,13.6,0,3.3,0,12,95.1,2.42,1.8,0.025,51.8,46.2,63.8,16.1,7,9,0.387,0,0.032,12,0,0,1,0.4,105.5,0,0,0,,0,13.6,25.4,2.807,16.1
